text	page_id	page_title	page_revisions	chars
"Bacquer was born under the reign of Isabel II, ""She of the Sad Fates,"" during which time the Revolution of 1868 also occurred, dethroning the monarch and giving rise to a dispute over who should hold power, creating regents like Francisco Serrano Dominguez, and, later, the restoration of the monarchy with the Italian king, Amadeo I. During his lifetime, the following events also occurred:"	5358	Gustavo_Adolfo_Bécquer	52	391
Alpacas, llamas, vicuna and guanaco are four camelids present in South America; the first two were tamed. Until some time ago it was thought that both the blade and the alpaca derived from the guanaco. The genetic material has been examined, if they confirm that the vigognia is the descendant of the alpaca, the discovery will lead to the reclassification of the alpaca.	9051	Alpaca	52	371
"In Computer science, Cloud computing is when the user can simply use storage, computing power, or specially crafted development environments, without having to worry how these work internally. Cloud computing is the development and use of computer technology on the Internet. It rely on the infrastructure of the internet. (*) It is a style of computing in which IT-related capabilities are provided “as a service”, (*) allowing users to access technology-enabled services from the Internet (""in the cloud"") (*) without knowledge of, or control over the technologies behind these servers. (*)"	5748	Cloud_computing	52	592
Cloud computing utilizes software as a service (SaaS), such as Web 2.0 and other technology trends, all of which depend on the Internet for satisfying users' needs. For example, Google Apps provides common business applications online that are accessed from a web browser, while the software and data are stored on the Internet servers.	5748	Cloud_computing	52	336
The majority of cloud computing infrastructure currently consists of reliable services delivered through data centers that are built on computer and storage virtualization technologies. The services are accessible anywhere in the world, with The Cloud appearing as a single point of access for all the computing needs of consumers.	5748	Cloud_computing	52	331
"As customers generally do not own the infrastructure or know all details about it, mainly they are accessing or renting, so they can consume resources as a service. By sharing consumable and ""intangible"" computing power between multiple ""tenants"", utilization rates can be improved (as servers are not left idle) which can reduce costs significantly while increasing the speed of application development. It has been enabled by increased high-speed bandwidth which makes it possible to receive the same response times from centralized infrastructure at other sites."	5748	Cloud_computing	52	565
"In 1960 when John McCarthy expressed his opinion that ""computation may someday be organized as a public utility""The word Cloud was already in commercial use in the early 1990s to refer to large Automated teller machine networks. (*) By the turn of the 21st century, cloud computing solutions had started to appear on the market, (*) though most of the focus at this time was on Software as a service."	5748	Cloud_computing	52	400
Although there have been efforts to match the legal environment, providers are currently dealing with international markets (typically the United States and European Union) by deploying local infrastructure and allowing customers to select their countries. (*) However it raises concerns about security and privacy from individual through governmental level.	5748	Cloud_computing	52	358
A cloud computing provider or cloud computing service provider owns and operates cloud computing systems to deliver service to other people. Usually this requires significant resources and expertise in building and managing the next generation of data centers.	5748	Cloud_computing	52	260
Water is a liquid. It is made from two molecules of hydrogen, and one molecule of oxygen. The chemical formula for water is written as H2O. Thus, water is a compound made up of oxygen and hydrogen. Water is clear, and usually in its purest form has no smell. Water will boil at 212 degrees Fahrenheit [F] (100 degrees Celsius [C]). Water will freeze 32 degrees F (0 degrees C). Water can be seen in oceans, rivers, and lakes.	5414	Water	52	425
George Washington • John Adams • Thomas Jefferson • James Madison • James Monroe • John Quincy Adams • Andrew Jackson • Martin Van Buren • William Henry Harrison • John Tyler • James K. Polk • Zachary Taylor • Millard Fillmore • Franklin Pierce • James Buchanan • Abraham Lincoln • Andrew Johnson • Ulysses S. Grant • Rutherford B. Hayes • James A. Garfield • Chester A. Arthur • Grover Cleveland • Benjamin Harrison • Grover Cleveland • William McKinley • Theodore Roosevelt • William Howard Taft • Woodrow Wilson • Warren G. Harding • Calvin Coolidge • Herbert Hoover • Franklin D. Roosevelt • Harry S. Truman • Dwight D. Eisenhower • John F. Kennedy • Lyndon B. Johnson • Richard Nixon • Gerald Ford • Jimmy Carter • Ronald Reagan • George H. W. Bush • Bill Clinton • George W. Bush • Barack Obama • Donald Trump • Joe Biden	5997	Zachary_Taylor	52	827
Asthma (or Asthma bronchiale) is a disease that causes affects the airways - called bronchi and bronchioles - that are inside the lungs. It causes the tissue inside the airways to swell, and the bands of muscle around the airways to constrict making them too narrow for enough air to pass through and breath normally. Asthma also causes the goblet cells inside the airways to make more mucous than normal, this clogs the airways which are already too narrow during an asthma attack, making it even more difficult to breath.	5791	Asthma	53	523
A person having an asthma attack often makes wheezing sounds when trying to breath, this is the sound of air trying to pass through the too narrow airway. They also have shortness of breath, which means they cannot take a full deep breath; chest tightness which feels like their chest is being squeezed and they may also cough a lot.	5791	Asthma	53	333
Atopic asthma is the most common form of asthma. Atopy is when there are changes in some of the genes a person is born with (genetic predisposition) that makes them much more sensitive (hypersensitive) to environmental antigens - such as chemicals, smoke, dust etc. This hypersensitivity causes their body to react in certain ways, usually a person who is atopic develops allergic rhinitis but they may also get atopic dermatitis, food allergy and asthma. If a person has one parent who is atopic they have a 50% chance of being atopic too. If they have two parents who are atopic they have a 75% chance of being atopic. (*)	5791	Asthma	53	624
Cough-variant asthma is a type of asthma in which a cough is the main, and sometimes only sign. Cough-variant asthma usually does not cause wheezing or breathlessness and causes a dry, scratchy, mostly nonproductive cough (this means little or no phlegm is coughed up). About 30% of people who have cough-variant asthma will develop typical asthma. (*)	5791	Asthma	53	352
Work related asthma are types of asthma that are caused or made worse by irritants in the environment at a person's place of work. The kind of jobs that may cause work related asthma are usually those in which there is a lot of smoke or chemicals are used. There are different types of work-related asthma (WRA): (*)	5791	Asthma	53	316
1. Occupational asthma with latency: this asthma type is when the signs and symptoms of asthma occur after a period of time (latency) after being exposed to the environmental irritants. e.g.: John starts working at a factory where chemicals are used the first week of January. At the end of March he starts developing the signs and symptoms of asthma. The period of time from when he started the job in January to when the signs and symptoms of asthma started in March is the latency period. (*)	5791	Asthma	53	495
2. Irritant-Induced Asthma (IIA) is occupational asthma without latency: this is an asthma type is when the signs and symptoms of asthma can occur immediately (without latency) after being exposed to the environmental irritants. [[Frank starts a new job working as a janitor where he uses ammonia to clean. After opening the bottle of ammonia and breathing the fumes Frank starts finds it difficult to breath, his chest tightens up and he develops other signs and symptoms of asthma.	5791	Asthma	53	483
Exercise induced asthma (EIA) - also called exercise induced bronchospasm - is the term used to describe asthma cases in which exercise is the main, and many times the only trigger for an asthma attack. If a person already has a form of asthma or they are atopic there is more of a chance of getting EIA.	5791	Asthma	53	304
Asthma can be controlled most often by avoiding contact with triggers and by using certain drugs. Most asthma sufferers carry special medicines around with them. These are called inhalers. The medicine inside the inhaler opens the tubes that go to the lungs. The inhaler is usually used to prevent an asthma attack, or to stop an attack that is already happening.	5791	Asthma	53	363
There are certain types of drugs that can make an asthma attack worse. These drugs include Aspirin, Paracetamol and Non-steroidal anti-inflammatory drugs. Using Beta blockers is dangerous: On of the effects they have is to tighten the airways.	5791	Asthma	53	243
In developed countries like the United States, Canada, Germany etc. it is more common in poor people but in developing countries it is more common in people who are not poor. More than 80% of the people who die from asthma are from low and middle income countries . (*)	5791	Asthma	53	269
As of 2011, 235–300 million people worldwide are affected by asthma, (*) and approximately 250,000 people die per year from the disease. Rates vary between countries with prevalences between 1 and 18%.It is more common in developed than developing countries.	5791	Asthma	53	258
The amount of asthma cases reported each year has gotten much higher between the 1960s and 2008 (*) (*) (*) Rates of asthma have plateaued in the developed world since the mid-1990s with recent increases primarily in the developing world. (*) Asthma affects approximately 7% of the population of the United States and 5% of people in the United Kingdom. (*) Canada, Australia and New Zealand have rates of about 14–15%. (*)	5791	Asthma	53	423
"The giant panda (scientific name : Ailuropoda melanoleuca, ""black and white cat-foot""), is a bear with black and white fur. It lives in the mountain forests of central China. It eats mostly a kind of grass called bamboo. It is one of the most endangered species on Earth."	1046	Giant_panda	53	271
Giant pandas have a digestive system more like meat-eaters (carnivores) than plant-eaters (herbivores). Pandas must eat 20-40 pounds of bamboo per day to get all the nutrients they need. They pass 16-20 hours every day looking for food and eating.	1046	Giant_panda	53	247
The baby nurses from its mother's breast six to 14 times a day for up to 30 minutes at a time. The mother may leave the den to feed for three to four hours, which leaves the cub defenseless. One to two weeks after birth, the cub's skin turns gray where its hair will eventually become black.	1046	Giant_panda	53	291
Male pandas live about 20 years. Females live a few years longer. The oldest panda in captivity was Ming Ming. She lived to be 34 years old. There are only a few giant pandas in zoos around the world. It is very difficult for pandas to breed in captivity. The Chinese have built special places in wild areas to shelter and care for pandas. Pandas were once hunted for their skins in China, but it is now against the law to hunt pandas.	1046	Giant_panda	53	435
In the 1970s, China began showing giant pandas in zoos in the United States and Japan as a type of diplomacy. This happened until 1984, when China changed how this was done. Starting in 1984, China would allow zoos to keep the giant pandas for 10 years, but the zoo would have to pay China up to $1,000,000 each year. Also, the zoo would have to agree that any cubs born would belong to China. (*)	1046	Giant_panda	53	397
The giant panda is one of the most endangered species on earth. It is endangered because its living areas and its stands of bamboo are being destroyed to make way for farms, housing, and other human developments. The giant panda is a symbol of China; it is also the symbol of the World Wildlife Fund (WWF).	1046	Giant_panda	53	306
Adolf Hitler (20 April 1889 - 30 April 1945) was the leader of Nazi Germany during World War II. He called himself the Führer (which means leader in German). Hitler caused the death of tens of millions of people because he started World War II. He killed himself in 1945.	5167	Adolf_Hitler	53	271
Hitler was born into a family of six in Austria (not Germany, like some people think). Hitler's father later died in 1903, which caused him to fail his High School Exams. He left school in 1905 with no qualifications. Hitler became interested in Antisemitism. This is the false belief that Jews are either evil or otherwise not as good as other people. This caused him to hate Jews for the rest of his life, which eventually brought about the Holocaust. In 1913, Austria wanted all young Austrian men to join the army. Hitler left for Germany because he did not like the Austrian army.	5167	Adolf_Hitler	53	585
Hitler's actions, teachings, and beliefs that Jewish people were less important than others, lead to the deaths of millions of Jewish people in World War II in concentration camps, while others were attacked and murdered. This was called the Holocaust.	5167	Adolf_Hitler	53	252
The primary waves are the first ones to be received by the seismograph because they are the fastest ones. They are also called longitudinal waves or compression waves as they vibrate the particles of the rock in the same direction of wave propagation. They propagate both in solids and liquids.	7901	Earthquake	53	294
The secondary waves are recorded by the seismograph for the second because they have lower speed to the first and also the transverse, as they vibrate the particles of the rock in the direction perpendicular to that of propagation. They do not propagate in liquids.	7901	Earthquake	53	265
The earthquakes in the sea occur because the epicenter is located on the seabed therefore the seismic waves propagate in the water causing the formation of a giant wave called a tsunami; this wave becomes increasingly high as it approaches the coast.	7901	Earthquake	53	250
For this purpose it is used the Mercalli scale which was conceived by the seismologist Giuseppe Mercalli and is divided into 12 levels of increasing intensity. The Mercalli scale is not very precise; In fact, two earthquakes, despite having the same intensity, can cause different effects depending on where they occur a (city, desert) and the type of buildings that are found there (buildings, earthquake resistant or not).	7901	Earthquake	53	424
The seismic waves are recorded with the 'seismograph' and the seismograms, records showing the seismic waves of different types, and you can get a lot of important information such as. the magnitude and duration of an earthquake or its epicenter (*) .	7901	Earthquake	53	251
There are some measures that the building respects to limit the damage caused by earthquakes in towns: it limits the height of buildings, are built wide streets, you increase the space between a building and the other, they protect or isolate pipelines and chimneys, because they often follow earthquakes to fires, the most suitable construction material is reinforced concrete.	7901	Earthquake	53	378
If blocked by rubble, avoid shouting and, if scarce air, breathe deeply, repair mouth and nose from the dust with a piece of cloth and close your eyes and try a, piece possibly metallic and beat to indicate the presence of people still alive.	7901	Earthquake	53	242
Barack Obama (born August 4, 1961 in Honolulu, Hawaii) is the 44th and former President of the United States. He was elected in 2008 and then reelected in 2012 for his second term that started in January 2013. His vice president was Joe Biden. He is a member of the United States Democratic Party. He was succeeded by Donald Trump.	117	Barack_Obama	53	331
George Washington • John Adams • Thomas Jefferson • James Madison • James Monroe • John Quincy Adams • Andrew Jackson • Martin Van Buren • William Henry Harrison • John Tyler • James K. Polk • Zachary Taylor • Millard Fillmore • Franklin Pierce • James Buchanan • Abraham Lincoln • Andrew Johnson • Ulysses S. Grant • Rutherford B. Hayes • James A. Garfield • Chester A. Arthur • Grover Cleveland • Benjamin Harrison • Grover Cleveland • William McKinley • Theodore Roosevelt • William Howard Taft • Woodrow Wilson • Warren G. Harding • Calvin Coolidge • Herbert Hoover • Franklin D. Roosevelt • Harry S. Truman • Dwight D. Eisenhower • John F. Kennedy • Lyndon B. Johnson • Richard Nixon • Gerald Ford • Jimmy Carter • Ronald Reagan • George H. W. Bush • Bill Clinton • George W. Bush • Barack Obama • Donald Trump • Joe Biden	117	Barack_Obama	53	827
Alice's Adventures in Wonderland is a children's book by the Reverend Charles Lutwidge Dodgson. The title is sometimes shortened to Alice in Wonderland. The book was published by Macmillan in November 1865 under Dodgson's pen name, Lewis Carroll. John Tenniel drew the story's 42 black and white pictures. The book was followed a few years after its publication with a sequel (also starring Alice) called Through the Looking-Glass. Both books have been translated into many languages, and adapted to other media such as movies, plays, and television shows.	846	Alice's_Adventures_in_Wonderland	53	556
Charles Lutwidge Dodgson was a young professor of mathematics at Oxford University, England, when the story of Alice began to take shape in his imagination. He had several child friends at Oxford including 10 year old Alice Pleasance Liddell, the daughter of the dean of Christ Church. On 4 July 1862, Dodgson and his friend, the Reverend Robinson Duckworth, took Alice and her sisters, Edith and Lorina, on a five-mile boating trip from Oxford to Godstow on the Isis River. Dodgson passed the time during the journey telling the story of Alice and Wonderland. Alice asked him to write the story down. He did, and gave the manuscript to her in November 1864. In 1863 (and most of 1864), Dodgson elaborated the story until he was satisfied with it. He read the story to other children. They liked it, so Dodgson began preparing his manuscript for publication. He asked the artist John Tenniel to draw pictures for the story. Tenniel drew 42 black and white pictures. Macmillan published the novel in November 1865 under Dodgson's pen name, Lewis Carroll.	846	Alice's_Adventures_in_Wonderland	53	1053
The story is about a little girl named Alice. She is enjoying a summer day on a river bank with her older sister when a rabbit runs by. Alice runs after him and falls down his rabbit hole. What she finds underground is a world of nonsense and wonders.	846	Alice's_Adventures_in_Wonderland	53	251
Anything Alice eats or drinks causes her to grow or to shrink. Sometimes she grows so small she is almost invisible, and other times she grows so tall she disappears in the clouds. She meets many odd characters in Wonderland, such as the White Rabbit, the Dodo, the Caterpillar, the Duchess and her Cook, and the Cheshire Cat.	846	Alice's_Adventures_in_Wonderland	53	326
Alice joins a Mad Tea Party hosted by a March Hare, a sleepy Dormouse, and the Mad Hatter. At the end of the story, Alice plays croquet with the Queen of Hearts. A great trial is held to punish the Knave of Hearts for stealing the tarts from the Queen . At the trial, Alice soars to a great height, then suddenly finds herself on the river bank where the story started. Alice's adventures were all a dream.	846	Alice's_Adventures_in_Wonderland	53	406
The book was hugely popular upon publication, and is still very popular. Another book about Alice called Through the Looking-Glass was published in 1871. This book was also written by Carroll, and was also very popular. The Alice stories have been adapted to stage plays, musicals, animated movies and live-action movies, such as Walt Disney's animated Alice in Wonderland (1951) and Tim Burton's computer-generated animation and live-action movie, Alice in Wonderland (2010).	846	Alice's_Adventures_in_Wonderland	53	476
Mesopotamia, from the Greek language, means 'land between rivers'. It includes the Euphrates and the Tigris rivers, and the fertile land which surrounds them. It is part of the Fertile Crescent. Mesopotamia today is split. Most of it is in Iraq, but parts are in Kuwait, Syria, Turkey and Iran.	5682	Mesopotamia	53	294
The area is often called the 'Cradle of Civilization'. The ancient writing called cuneiform was first used around 3000 BC by the Sumerians. They lived in city-states (a city and the land around it). According to Genesis in the Old Testament, Abraham lived in Mesopotamia before moving to Canaan.	5682	Mesopotamia	53	295
Historically important cities in Mesopotamia included Uruk, Nippur, Nineveh, and Babylon, as well as major territorial states such as the city of Ma-asesblu, the Akkadian kingdom, the Third Dynasty of Ur, and the Assyrian empire. Some of the important historical Mesopotamian leaders were Ur-Nammu (king of Ur), Sargon (who started the Akkadian Kingdom), Hammurabi (who established the Old Babylonian state), and Tiglath-Pileser I (who started the Assyrian Empire).	5682	Mesopotamia	53	465
Many advances in technology were made by the ancient Sumerians and Mesopotamians, such as irrigation, (*) and trade by river, and flood control. Mesopotamians had agriculture and domesticated animals, or livestock, from the earliest records. Babylon is probably the first city built by settled people. Mesopotamia also was the place where the wheel was first used. First it was a pottery wheel that was used to make clay pots, then Sumerians adapted it for transport.	5682	Mesopotamia	53	467
Mesopotamia is made up of different regions. Northern Mesopotamia is made up of hills and plains. Seasonal rains, and the rivers and streams come from the mountains. Early settlers farmed the land and used timber, metals and stone. Southern Mesopotamia is made up of marshy areas and wide, flat, plains. Cities developed along the rivers which flow through the region. Early settlers had to irrigate the land along the banks of the rivers in order for their crops to grow. (*)	5682	Mesopotamia	53	476
Mesopotamia has been conquered many times, by many different peoples. It was the heartland of the Sumerian, Akkadian, Babylonian and Assyrian empires. As each new group moved into the region they adopted some of the culture, traditions and beliefs of the people who had come before. It was conquered by Alexander the Great (332 BC), the Parthians (150 BC), the Romans, the Persian Empire, the Arabs (7th century). It is still one of the most fertile (and therefore valuable) parts of the Middle East.	5682	Mesopotamia	53	500
Ancient Mesopotamia begins in the late 6th millennium BC, and ends with either the rise of the Achaemenid Persians in the 6th century BC or the Muslim conquest of Mesopotamia in the 7th century CE. This long period may be divided as follows:	5682	Mesopotamia	53	241
The Epic of Gilgamesh is an ancient story about a relationship between Gilgamesh and his close companion, Enkidu. Enkidu is a wild man created by the gods as Gilgamesh's equal to distract him from oppressing the citizens of Uruk. Together they undertake dangerous quests that incur the displeasure of the gods. Firstly, they journey to the Cedar Mountain to defeat Humbaba, its monstrous guardian. Later they kill the Bull of Heaven that the goddess Ishtar has sent to punish Gilgamesh for turning down her advances.	5682	Mesopotamia	53	516
The second part of the epic is about Gilgamesh's distressed reaction to Enkidu's death, which takes the form of a quest for immortality. Gilgamesh attempts to learn the secret of eternal life by undertaking a long and perilous journey to meet the immortal flood hero, Utnapishtim. The words addressed to Gilgamesh in the midst of his quest foreshadow the end result:	5682	Mesopotamia	53	366
These artists, before the Renaissance, painted in the style of Greek icons. Their paintings were important to the education of many Renaissance painters, and were to be seen in the churches where the Renaissance painters worked, and worshipped. Often an altarpiece by one of these artists was surrounded by frescoes by the Renaissance painters who lived 150 to 200 years later. A famous Madonna and Child by Coppo di Marcovaldo stood above the altar where Masaccio, Masolino and Filippo Lippi painted the walls of the Brancacci Chapel. Giotto, who is thought of as the first Renaissance painter, was educated by Cimabue, one of the great masters of the Late Byzantine style.	5678	List_of_Renaissance_artists	55	674
A star is a luminous celestial body. Stars are giant balls of burning gases, that emit light into the space. They can be seen in the sky, at night, because, during the day, they're hidden by the much brighter Sun. Most of the stars are so far away from us that they can be seen only as tiny points; but one them, the Sun is much closer. It lights and warms the Earth.	2068	Star_(Astronomy)	55	367
in Aztec religion, the Centzonhuitznahua were the 400 gods of the southern stars. Sons of Coatlicue and Mixcoatl, god of the stars and of the Milky Way. Lead by their sister, Coyolxauhqui, they tried to kill their mother, for having giving birth to Quetzalcoatl and Xolotl without their father, but were instead stained by Huitzilopotchli, the last son of Coatlicue, that birth at this moment.	2068	Star_(Astronomy)	55	393
the Ancient Greeks tried to figure patterns in the disposition of the stars. They imagined drawings, called the constellations, that represented figures of the mythology : the Ursa major (Great Bear), for example, represents the nymph Callisto, lover of the god Zeus, and turned into a bear by the jealousy of his wife, Hera, while the Ursa minor (Little bear) represents her son, Arcas.	2068	Star_(Astronomy)	55	387
A boat is a sea vehicle capable of moving on water (rivers, lakes, seas and oceans). Larger vessels are considered a ship, while smaller ones are called boats too. Unlike a raft, a ship, like a boat, has a trough shape that gives it the buoyancy, speed, and strength needed to float and move on and across the water.	13474	Boat	55	316
"The blobfish really is a strange animal. Its weird appearance has gotten it classified on the internet as the ""World's Ugliest Animal"". Furthermore, it is not very well known, and very few people have had the chance to see it in its natural environment."	5148	Blobfish	56	253
This is normal: the blobfish lives near the bottom of the sea, at very great depths: up to 1200 meters! Because of this it's very difficult to observe, and most blobfish that can be seen are those which have been brought up to the surface by fishermen.	5148	Blobfish	56	252
Although the body of the blobfish looks very bizarre when brought up to the surface, it is perfectly adapted to the bottom of the sea. For instance, the blobfish has no swim bladder (the swim bladder is a pouch filled with gas, like a small balloon inside the body most finned fishes; by inflating or deflating the swim bladder, a fish can float more or less high in the water, using Archimedes' principle by varying in density).	5148	Blobfish	56	429
"But at very great depths, the water exerts enormous pressure which would probably burst the swim bladder, most ""normal"" fish therefore wouldn't be able to live this deep. But the blobfish has no swim bladder. It disappeared from its ancestors a long time ago. As a result, they do not fear large pressures and they can therefore live very deep in the ocean."	5148	Blobfish	56	357
Without a swim bladder, one might think that the blobfish does not float, and that it should have to swim relentlessly to stop itself from sinking. The second special feature of the blobfish is that its flesh, that is to say, its muscles, have a gelatinous consistency and are less dense than water. Even though he has no swim bladder, the blobfish can thus naturally float a little above the bottom ocean without having to spend too much energy.	5148	Blobfish	56	446
With his gelatinous muscle, the blobfish is not a great swimmer: it is not very fast and therefore prefers prey that are immobile or slower than it. It is an opportunistic predator, that is to say, it eats whatever it happens to catch. They eat primarily pennatules, sea snails, or crabs. It can also feed on marine snow, a substance that falls permanently on the seabed from the surface.	5148	Blobfish	56	388
Blobfish habits are poorly known, as very few have been observed in their natural environment. However, we often find scars of suckers on larger blobfish. So we think that blobfish, in turn, are eaten by larger molluscs such as squids or octopus.	5148	Blobfish	56	246
Because of its gelatinous and extremely acidic flesh, the blobfish is not edible, so it does not interest fishermen. Yet, paradoxically, it is a victim of overfishing. Fishermen use special nets called trawls to scrape the bottom of the sea and to capture crustaceans such as lobsters. However, these nets do not differentiate in the things they catch and thus capture many other species such as the blobfish.	5148	Blobfish	56	409
A typical dish is the Smørrebrød. This is an open sandwich (one without a slice of bread on top). It is made with dark rye bread, spread with salted butter. It can be topped with almost anything, although it is usually a combination of meat or fish, hard-boiled egg and vegetables.	8672	Copenhagen	56	281
